stockid,scientificname
ACADREDGOMGB,Sebastes fasciatus
AFLONCH,Beryx splendens
ALBAIO,Thunnus alalunga
ALBAMED,Thunnus alalunga
ALBANATL,Thunnus alalunga
ALBANPAC,Thunnus alalunga
ALBASATL,Thunnus alalunga
ALBASPAC,Thunnus alalunga
ALPLAICBSAI,Pleuronectes quadrituberculatus
AMPL23K,Hippoglossoides platessoides
AMPL3LNO,Hippoglossoides platessoides
AMPL3M,Hippoglossoides platessoides
AMPL3Ps,Hippoglossoides platessoides
AMPL5YZ,Hippoglossoides platessoides
ANCHMEDGSA16,Engraulis encrasicolus
ANCHMEDGSA17,Engraulis encrasicolus
ANCHMEDGSA7,Engraulis encrasicolus
ANCHOBAYB,Engraulis encrasicolus
ANCHOSA,Engraulis encrasicolus
ANCHOVYKILKACS,Clupeonella engrauliformis
ANCHOWA,Engraulis encrasicolus
ANGLMEDGSA15-16,Lophius budegassa
APOLLPJPN,Theragra chalcogramma
ARFLOUNDBSAI,Reinhardtius stomias
ARFLOUNDGA,Atheresthes stomias
ARFLOUNDPCOAST,Reinhardtius stomias
ARGANCHONARG,Engraulis anchoita
ARGANCHOSARG,Engraulis anchoita
ARGHAKENARG,Merluccius hubbsi
ARGHAKESARG,Merluccius hubbsi
ATBTUNAEATL,Thunnus thynnus
ATBTUNAWATL,Thunnus thynnus
ATHAL5YZ,Hippoglossus hippoglossus
ATKABSAI,Pleurogrammus monopterygius
ATLCROAKMATLC,Micropogonias undulatus
ATOOTHFISHRS,Dissostichus mawsoni
AUSSALMONNZ,Arripis trutta
BCRABCHESB,Callinectes sapidus
BCROAKWASG1,Pseudotolithus elongatus
BGRDRSE,Macruronus novaezelandiae
BGROCKPCOAST,Sebastes melanostomus
BGRUNTWASG2,Brachydeuterus auritus
BGRUNTWASG3,Brachydeuterus auritus
BHAKEWASG3,Merluccius polli
BHEADSHARATL,Sphyrna tiburo
BIGEYEATL,Thunnus obesus
BIGEYECWPAC,Thunnus obesus
BIGEYEEPAC,Thunnus obesus
BIGEYEIO,Thunnus obesus
BIGEYEWPO,Thunnus obesus
BIGHTREDSE,Centroberyx gerrardi
BKCDLFENI,Epigonus telescopus
BKINGCRABPI,Paralithodes platypus
BKINGCRABSMI,Paralithodes platypus
BLACKGROUPERGMSATL,Mycteroperca bonaci
BLACKOREOPR,Allocyttus niger
BLACKOREOWECR,Allocyttus niger
BLACKROCKNPCOAST,Sebastes melanops
BLACKROCKSPCOAST,Sebastes melanops
BLUEFISHATLC,Pomatomus saltatrix
BLUEROCKCAL,Sebastes mystinus
BMACKECS,Scomber australasicus
BMACKPJPN,Scomber australacius
BMARLINATL,Makaira nigricans
BMARLINPAC,Makaira nigricans
BNKROCKCAL,Sebastes rufus
BNOSESHARATL,Carcharhinus acronotus
BNSNZ,Hyperoglyphe antarctica
BOCACCSPCOAST,Sebastes paucispinis
BONGAWA,Ethmalosa fimbriata
BRMSOJ,Dentex tumifrons
BRMSPPWASG1,Dentex spp
BRMSPPWASG2,Dentex spp
BRMSPPWASG3,Dentex spp
BRNSHRIMPGM,Farfantepenaeus aztecus
BSBASSMATLC,Centropristis striata
BSBASSSATL,Centropristis striata
BSKAT5YZSNE,Dipturus laevis
BSKATCANATL,Dipturus laevis
BSQLOBSTERCH,Cervimunida Johni
BTIPSHARATL,Carcharhinus limbatus
BTIPSHARGM,Carcharhinus limbatus
BTSHRIMPNAUST,Penaeus esculentus
BUTTERGOMCHATT,Peprilus triacanthus
BWHITCH,Micromesistius poutassou
BWHITNEA,Micromesistius poutassou
CABEZNCAL,Scorpaenichthys marmoratus
CABEZORECOAST,Scorpaenichthys marmoratus
CABEZSCAL,Scorpaenichthys marmoratus
CALSCORPSCAL,Scorpaena guttata
CAPEICE,Mallotus villosus
CAPENOR,Mallotus villosus
CATWASG1,Arius spp
CATWASG3,Arius spp
CHAKESA,Merluccius capensis
CHERRCHVX,Clupea bentincki
CHILISPCOAST,Sebastes goodei
CHMACKWA,Trachurus trecae
CHTRACCH,Trachurus murphyi
CMACKPCOAST,Scomber japonicus
CMACKPJPN,Scomber japonicus
CMACKTSST,Scomber japonicus
CMACKWA,Scomber japonicus
COD2J3KL,Gadus morhua
COD3M,Gadus morhua
COD3NO,Gadus morhua
COD3Pn4RS,Gadus morhua
COD3Ps,Gadus morhua
COD4TVn,Gadus morhua
COD4VsW,Gadus morhua
COD4X,Gadus morhua
CODBA2224,Gadus morhua
CODBA2532,Gadus morhua
CODFAPL,Gadus morhua
CODGB,Gadus morhua
CODGOM,Gadus morhua
CODICE,Gadus morhua
CODIS,Gadus morhua
CODKAT,Gadus morhua
CODNEAR,Gadus morhua
CODNS,Gadus morhua
CODVIa,Gadus morhua
CODVIIek,Gadus morhua
COWCODSCAL,Sebastes levis
CRLOBSTERSA12,Jasus lalandii
CRLOBSTERSA34,Jasus lalandii
CRLOBSTERSA56,Jasus lalandii
CRLOBSTERSA7,Jasus lalandii
CRLOBSTERSA8,Jasus lalandii
CROAKSPPWASG1,Pseudotolithus spp
CROAKSPPWASG2,Pseudotolithus spp
CROAKSPPWASG3,Pseudotolithus spp
CROCKPCOAST,Sebastes pinniger
CROCKWCVANISOGQCI,Sebastes pinniger
CSHRIMPWA,Penaeus spp
CSKATMATLC,Raja eglanteria
CTRACSA,Trachurus capensis
CUSK4X,Brosme brosme
CUTTLEWA,Sepia spp
DEEPCHAKESA,Merluccius paradoxus
DEEPFLATHEADSE,Platycephalus conatus
DKROCKPCOAST,Sebastes crameri
DRSHRIMPWA,Parapenaeus longirostris
DSOLEGA,Microstomus pacificus
DSOLEPCOAST,Microstomus pacificus
DUSROCKGA,Sebastes variabilis
ESOLEHS,Parophrys vetulus
ESOLEPCOAST,Parophrys vetulus
FLSOLEBSAI,Hippoglossoides elassodon
FLSOLEGA,Hippoglossoides elassodon
FMEG8c9a,Lepidorhombus boscii
FSCADWA,Caranx rhonchus
FTOOTHSHARATL,Carcharhinus isodon
GAGGM,Mycteroperca microlepis
GAGSATLC,Mycteroperca microlepis
GEMFISHNZ,Rexea solandri
GEMFISHSE,Rexea solandri
GGRUNTWASG1,Pomadasys spp
GGRUNTWASG3,Pomadasys spp
GHAL01ABCDEF,Reinhardtius hippoglossoides
GHAL23KLMNO,Reinhardtius hippoglossoides
GHAL4RST,Reinhardtius hippoglossoides
GHALBSAI,Reinhardtius hippoglossoides
GHALNEAR,Reinhardtius hippoglossoides
GOLDREDNEAR,Sebastes norvegicus
GOPHERSPCOAST,Sebastes carnatus
GRAMBERGM,Seriola dumerili
GRAMBERSATLC,Seriola dumerili
GRNSTROCKPCOAST,Sebastes elongatus
GRSPROCKNCAL,Sebastes chlorostictus
GRSPROCKSCAL,Sebastes chlorostictus
GSTRGZRSTA7,Kathetostoma giganteum
GTPRAWNNAUST,Penaeus semisulcatus
GTRIGGM,Balistes capriscus
HAD4X5Y,Melanogrammus aeglefinus
HAD5Y,Melanogrammus aeglefinus
HADFAPL,Melanogrammus aeglefinus
HADGB,Melanogrammus aeglefinus
HADICE,Melanogrammus aeglefinus
HADIS,Melanogrammus aeglefinus
HADNEAR,Melanogrammus aeglefinus
HADNS-IIIa,Melanogrammus aeglefinus
