"","stockid","primary_FAOarea","scientificname"
"1","ALBANATL","ANE","Thunnus alalunga"
"2","ANGLVIIIc-IXa","ANE","Lophius budegassa"
"3","ATBTUNAEATL","ANE","Thunnus thynnus"
"4","BWHITNEA","ANE","Micromesistius poutassou"
"5","CAPENOR","ANE","Mallotus villosus"
"6","COD1f-XIV","ANE","Gadus morhua"
"7","CODBA2532","ANE","Gadus morhua"
"8","CODFAPL","ANE","Gadus morhua"
"9","CODICE","ANE","Gadus morhua"
"10","CODIIIaW-IV-VIId","ANE","Gadus morhua"
"11","CODIS","ANE","Gadus morhua"
"12","CODNEAR","ANE","Gadus morhua"
"13","CODVIa","ANE","Gadus morhua"
"14","CODVIIek","ANE","Gadus morhua"
"15","CUSKVa-XIV","ANE","Brosme brosme"
"16","GHALNEAR","ANE","Reinhardtius hippoglossoides"
"17","GOLDREDV-VI-XII-XIV","ANE","Sebastes norvegicus"
"18","HADFAPL","ANE","Melanogrammus aeglefinus"
"19","HADICE","ANE","Melanogrammus aeglefinus"
"20","HADNEAR","ANE","Melanogrammus aeglefinus"
"21","HADNS-IIIa-VIa","ANE","Melanogrammus aeglefinus"
"22","HAKENRTN","ANE","Merluccius merluccius"
"23","HAKESOTH","ANE","Merluccius merluccius"
"24","HERR2529-32","ANE","Clupea harengus"
"25","HERR30-31","ANE","Clupea harengus"
"26","HERRNIRS","ANE","Clupea harengus"
"27","HERRNS-IIIa-VIId","ANE","Clupea harengus"
"28","HERRRIGA","ANE","Clupea harengus"
"29","HERRSIRS","ANE","Clupea harengus"
"30","HERRVIa","ANE","Clupea harengus"
"31","HERRVIaVIIbc","ANE","Clupea harengus"
"32","HMACKIIa-IVa-Vb-VIa-VII-VIII","ANE","Trachurus trachurus"
"33","LINGVa","ANE","Molva molva"
"34","MACKNEICES","ANE","Scomber scombrus"
"35","PLAIC7d","ANE","Pleuronectes platessa"
"36","PLAICECHW","ANE","Pleuronectes platessa"
"37","PLAICIS","ANE","Pleuronectes platessa"
"38","PLAICNS","ANE","Pleuronectes platessa"
"39","POLLFAPL","ANE","Pollachius virens"
"40","POLLIEG","ANE","Pollachius virens"
"41","POLLNEAR","ANE","Pollachius virens"
"42","POLLNS-VI-IIIa","ANE","Pollachius virens"
"43","SARDPVIIIc-IXa","ANE","Sardina pilchardus"
"44","SEELNSSA1","ANE","Ammodytes spp"
"45","SEELNSSA2","ANE","Ammodytes spp"
"46","SOLECS","ANE","Solea solea"
"47","SOLEIS","ANE","Solea solea"
"48","SOLENS","ANE","Solea solea"
"49","SOLEVIId","ANE","Solea solea"
"50","SOLEVIIe","ANE","Solea solea"
"51","SPRAT22-32","ANE","Sprattus sprattus"
"52","SPRATNS","ANE","Sprattus sprattus"
"53","SPURDNEATL","ANE","Squalus acanthias"
"54","SWORDNATL","ANE","Xiphias gladius"
"55","TURIV","ANE","Scophthalmus maximus"
"56","WANGLVIIIc-IXa","ANE","Lophius piscatorius"
"57","WHITNS-VIId","ANE","Merlangius merlangus"
"58","WHITVIa","ANE","Merlangius merlangus"
"59","WHITVIIa","ANE","Merlangius merlangus"
"60","BMARLINPAC","PWC","Makaira nigricans"
"61","BTSHRIMPNAUST","PWC","Penaeus esculentus"
"62","GTPRAWNNAUST","PWC","Penaeus semisulcatus"
"63","BIGEYECWPAC","PWC","Thunnus obesus"
"64","SKJCWPAC","PWC","Katsuwonus pelamis"
"65","STMARLINSWPO","PWC","Kajikia audax"
"66","YFINCWPAC","PWC","Thunnus albacares"
"67","SWORDIO","IOE","Xiphias gladius"
"68","BGRDRNSWWA","IOE","Macruronus novaezelandiae"
"69","BLKMARLINIO","IOE","Istiompax indica"
"70","NZLINGWSE","IOE","Genypterus blacodes"
"71","RROCKLOBSTERSAUSNZ","IOE","Jasus edwardsii"
"72","RROCKLOBSTERSAUSSZ","IOE","Jasus edwardsii"
"73","SBT","IOE","Thunnus maccoyii"
"74","SKJCIO","IOE","Katsuwonus pelamis"
"75","SWHITSE","IOE","Sillago flindersi"
