"","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"ALBANATL",630000,591000,572000,562000,547000,535000,521000,498000,487000,483000,473000,460000,442000,427000,413000,396000,392000,398000,389000,371000,370000,360000,360000,355000,357000,363000,363000,373000,375000,374000,378000,384000,386000,396000,410000,410000,409000,425000,437000,449000,463000,461000,461000,475000,497000,515000,529000,543000,549000,559000,569000,437000,437000
"CAPENOR",3230000,3230000,3230000,3230000,3230000,3230000,3230000,6600000,5140000,5730000,7810000,6420000,4800000,4250000,4160000,6720000,3900000,3780000,4230000,2960000,860000,120000,101000,428000,864000,5830000,7290000,5150000,796000,2e+05,193000,503000,909000,2060000,2780000,4270000,3630000,2210000,533000,628000,324000,787000,2120000,4430000,3770000,3500000,3710000,3590000,3960000,1950000,842000,328000,2510000
"COD1f-XIV",82000,82000,82000,82000,82000,82000,82000,82000,123000,105000,123000,160000,191000,202000,177000,131000,112000,93300,67900,48900,40100,56600,86000,119000,148000,131000,68800,19600,4170,3270,3850,3820,4020,3680,4030,5360,8060,12000,16300,29200,61800,91300,102000,73900,87900,82000,82500,102000,116000,126000,91000,80500,81200
"CODBA2532",329000,347000,410000,413000,390000,355000,329000,350000,398000,476000,526000,516000,529000,665000,879000,958000,958000,991000,941000,846000,722000,532000,483000,439000,333000,257000,184000,128000,140000,224000,238000,210000,181000,149000,135000,151000,142000,129000,122000,112000,104000,128000,126000,155000,193000,203000,198000,233000,329000,329000,329000,329000,329000
"CODFAPL",71200,73000,91000,103000,103000,93300,68900,66400,95700,128000,144000,144000,128000,90200,77800,79100,82600,91400,128000,166000,134000,95800,70900,61900,63900,40900,27000,26900,35600,65100,136000,132000,86700,58600,57500,92000,125000,111000,65200,34900,29300,27200,24200,24600,30300,44800,33600,21100,18300,25900,27700,30700,37500
"CODICE",1020000,1030000,1100000,1220000,1330000,1340000,1100000,997000,844000,918000,896000,956000,1290000,1300000,1400000,1490000,1240000,971000,791000,914000,928000,854000,1030000,1030000,1e+06,841000,698000,551000,595000,576000,557000,671000,783000,721000,731000,590000,688000,729000,740000,8e+05,724000,701000,681000,704000,799000,843000,932000,1050000,1160000,896000,896000,896000,896000
"CODIIIaW-IV-VIId",756000,906000,961000,823000,682000,1070000,1210000,866000,693000,664000,748000,604000,903000,1020000,958000,1150000,967000,1020000,815000,833000,564000,747000,705000,521000,523000,357000,326000,507000,397000,507000,542000,412000,619000,320000,216000,271000,191000,163000,137000,120000,137000,147000,196000,203000,212000,222000,205000,178000,226000,280000,251000,219000,243000
"CODIS",21200,21200,21200,31000,32000,35700,36600,42700,39300,38800,32600,29000,25100,28200,37000,40400,38100,34900,33500,30100,32900,39700,43600,34200,29200,22200,23000,21200,17900,16100,16200,18100,17200,12000,9550,7270,7490,6540,4700,4470,3620,3230,2710,2210,2650,3670,3080,3990,5570,7330,8090,8650,21200
"CODNEAR",1470000,2280000,2780000,3220000,2740000,2080000,1630000,1620000,2270000,2210000,2120000,2010000,1980000,1600000,1110000,838000,960000,734000,707000,811000,986000,1340000,1200000,1e+06,1e+06,1020000,1530000,1870000,2300000,2100000,1810000,1680000,1500000,1270000,1150000,1180000,1460000,1620000,1720000,1620000,1560000,1570000,1960000,2700000,3440000,3810000,4020000,4150000,4360000,3930000,3620000,3130000,3040000
"CODVIIek",16700,16700,16700,16700,16700,16700,15300,12800,11700,10700,12600,12200,12500,13800,16300,22800,20700,19000,18500,17100,21800,20900,28400,41400,37600,25100,19500,21900,21000,26300,26000,26400,23400,19700,16100,15300,19000,16000,11300,7220,7550,8970,10400,9020,9230,17800,17100,17200,11500,9490,9360,10300,16700
"GOLDREDV-VI-XII-XIV",459000,459000,459000,459000,459000,459000,609000,611000,651000,683000,703000,707000,717000,743000,760000,750000,720000,663000,597000,543000,505000,474000,438000,390000,350000,348000,328000,309000,293000,283000,301000,307000,307000,309000,306000,301000,307000,308000,321000,337000,354000,376000,391000,414000,445000,481000,502000,515000,519000,510000,5e+05,479000,459000
"HADFAPL",66700,63600,66900,77000,80900,76300,71000,66100,89900,113000,134000,139000,105000,93300,71200,63100,55900,52200,48300,84500,77900,78500,71200,65500,56800,42300,30400,22000,29700,25900,50500,93600,1e+05,83200,69500,99600,139000,149000,128000,114000,81900,56600,37700,26400,18100,17300,15200,13400,14000,14200,20700,27400,38600
"HADICE",139000,139000,139000,139000,139000,139000,139000,139000,139000,139000,139000,139000,139000,139000,162000,192000,207000,180000,148000,113000,102000,96500,105000,154000,168000,146000,123000,106000,131000,128000,124000,108000,87200,97100,91000,90700,115000,168000,220000,253000,259000,298000,296000,248000,191000,166000,151000,144000,139000,128000,132000,117000,135000
"HADNEAR",369000,421000,445000,406000,302000,274000,247000,6e+05,666000,512000,374000,282000,201000,196000,202000,205000,161000,120000,89300,72100,180000,352000,330000,248000,189000,157000,181000,288000,550000,668000,659000,578000,378000,263000,248000,231000,295000,434000,528000,488000,507000,447000,656000,981000,1290000,1440000,1290000,1160000,1030000,1030000,964000,911000,743000
"HADNS-IIIa-VIa",803500,803500,803500,803500,803500,803500,803500,2590000,2580000,2670000,2100000,1050000,805000,804000,1230000,1430000,1030000,897000,1110000,1380000,907000,1070000,799000,465000,384000,616000,801000,826000,867000,894000,859000,780000,749000,584000,1530000,2160000,1150000,772000,545000,450000,1020000,765000,557000,468000,803000,499000,423000,412000,356000,508000,523000,541000,433000
"HAKENRTN",76400,76400,76400,76400,76400,76400,76400,76400,76400,76400,76400,76400,76400,119000,128000,127000,109000,101000,107000,112000,97400,80400,75300,76300,76500,70600,67500,66500,58900,52600,58700,54100,46600,44200,48500,54000,54000,57000,62100,64300,60200,56600,63400,80000,127000,207000,268000,289000,302000,339000,376000,391000,372000
"HERR2529-32",1460000,1460000,1460000,1460000,1460000,1460000,1460000,1460000,1460000,2660000,2390000,2300000,2320000,2240000,2080000,2140000,2460000,2560000,2290000,2190000,2020000,1760000,1770000,1670000,1640000,1480000,1380000,1270000,1220000,1270000,1120000,1020000,893000,867000,727000,844000,753000,749000,878000,805000,856000,1020000,1050000,1270000,1310000,1310000,1220000,1460000,1500000,1570000,1740000,1550000,1460000
"HERRNS-IIIa-VIId",5110000,3780000,2930000,2520000,1900000,1860000,1720000,1520000,1210000,875000,705000,508000,351000,422000,559000,757000,1360000,2070000,2850000,3680000,4190000,4700000,4740000,4600000,4e+06,3930000,3730000,3810000,3560000,3440000,3370000,3310000,3340000,3630000,3630000,4470000,5050000,5970000,6310000,5290000,4440000,3760000,3130000,3180000,3640000,4420000,4440000,4440000,4280000,4550000,4750000,4590000,3670000
"HERRRIGA",134000,134000,134000,134000,134000,134000,134000,134000,134000,134000,134000,134000,76700,66300,66100,69500,65500,72900,76300,66200,77500,86700,97600,116000,86000,139000,141000,167000,175000,170000,166000,167000,134000,120000,136000,132000,156000,143000,156000,120000,124000,143000,127000,157000,150000,140000,130000,149000,178000,157000,149000,141000,132000
"HERRSIRS",256000,281000,273000,286000,239000,173000,199000,154000,122000,89500,76700,71200,66900,61300,72800,61900,89200,130000,163000,153000,159000,176000,218000,177000,170000,152000,116000,158000,124000,157000,155000,121000,109000,86600,92500,93600,91100,110000,73100,81900,139000,124000,142000,143000,196000,195000,215000,192000,164000,140000,99100,75100,61300
"HERRVIa",1130000,858000,838000,960000,988000,1e+06,1520000,1120000,803000,577000,436000,265000,164000,172000,217000,253000,365000,307000,430000,356000,351000,317000,384000,338000,322000,274000,211000,195000,185000,181000,160000,201000,216000,193000,153000,219000,249000,290000,246000,193000,160000,177000,156000,145000,158000,164000,152000,144000,114000,249000,249000,249000,249000
"HERRVIaVIIbc",1290000,1620000,1430000,1500000,1450000,1570000,1880000,1780000,1560000,1100000,841000,695000,541000,539000,519000,609000,794000,812000,822000,882000,940000,1e+06,941000,902000,917000,966000,921000,834000,910000,778000,688000,569000,570000,653000,678000,734000,784000,847000,838000,713000,657000,702000,681000,625000,637000,631000,533000,502000,396000,292000,240000,169000,162000
"PLAICNS",508000,542000,548000,529000,483000,453000,452000,448000,397000,424000,465000,482000,478000,473000,456000,466000,425000,478000,541000,580000,609000,729000,757000,690000,630000,555000,504000,437000,387000,330000,329000,315000,381000,387000,359000,334000,348000,380000,387000,389000,373000,423000,435000,528000,630000,735000,751000,804000,904000,1030000,890000,951000,1040000
"POLLFAPL",160000,165000,154000,159000,177000,193000,201000,218000,249000,238000,224000,195000,177000,163000,134000,139000,128000,132000,154000,174000,187000,191000,204000,209000,196000,171000,145000,125000,132000,126000,111000,96000,103000,122000,142000,191000,248000,268000,265000,272000,260000,230000,184000,176000,148000,139000,130000,118000,112000,118000,121000,134000,157000
"POLLNEAR",850000,818000,796000,760000,866000,968000,953000,878000,846000,732000,612000,542000,478000,418000,411000,392000,443000,399000,410000,321000,269000,270000,286000,301000,283000,271000,352000,465000,533000,486000,589000,682000,721000,797000,802000,825000,886000,1010000,990000,1010000,1070000,923000,867000,721000,659000,680000,576000,583000,599000,631000,607000,733000,764000
