"","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","stockid","primary_FAOarea","scientificname","fao_sp"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55000,71000,133000,133000,31000,209000,26000,1e+05,169000,26000,15000,34000,71000,123000,96000,15000,79000,59000,79000,25000,56000,22000,107000,69000,47000,38000,42000,67000,17000,61000,48000,94000,32000,50000,33000,116000,96000,33000,146000,147000,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ACADREDUT3","21","Sebastes fasciatus","21_Sebastes fasciatus"
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,313000,319000,324000,326000,326000,328000,328000,329000,329000,329000,331000,331000,331000,329000,331000,331000,329000,329000,329000,324000,321000,318000,319000,318000,318000,319000,319000,321000,321000,323000,323000,321000,321000,321000,318000,313000,313000,309000,309000,309000,311000,309000,304000,311000,311000,316000,319000,NA,NA,NA,NA,NA,NA,NA,"ALBAMED","37","Thunnus alalunga","37_Thunnus alalunga"
"3",943000,923000,902000,887000,873000,861000,842000,821000,809000,784000,755000,737000,716000,696000,651000,630000,591000,572000,562000,547000,535000,521000,498000,487000,483000,473000,460000,442000,427000,413000,396000,392000,398000,389000,371000,370000,360000,360000,355000,357000,363000,363000,373000,375000,374000,378000,384000,386000,396000,410000,410000,409000,425000,437000,449000,463000,461000,461000,475000,497000,515000,529000,543000,549000,559000,569000,NA,NA,NA,"ALBANATL","27","Thunnus alalunga","27_Thunnus alalunga"
"4",NA,NA,NA,NA,NA,NA,387000,393000,397000,398000,395000,391000,383000,373000,362000,346000,333000,327000,323000,313000,306000,3e+05,291000,281000,278000,281000,283000,283000,281000,279000,277000,274000,268000,268000,274000,272000,259000,243000,231000,227000,223000,220000,213000,204000,195000,188000,185000,182000,178000,174000,169000,158000,147000,141000,139000,141000,143000,144000,148000,151000,155000,158000,149000,NA,NA,NA,NA,NA,NA,"ALBASATL","47","Thunnus alalunga","47_Thunnus alalunga"
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,461000,511000,563000,613000,652000,684000,715000,737000,756000,766000,759000,741000,698000,682000,621000,613000,607000,601000,592000,591000,594000,590000,586000,574000,567000,558000,548000,543000,536000,537000,548000,555000,558000,559000,557000,554000,544000,523000,505000,485000,NA,NA,NA,NA,"ALPLAICBSAI","67","Pleuronectes quadrituberculatus","67_Pleuronectes quadrituberculatus"
"6",6e+05,6e+05,599000,598000,597000,594000,591000,586000,581000,574000,567000,560000,553000,546000,539000,532000,523000,515000,506000,488000,476000,462000,449000,438000,406000,374000,345000,331000,314000,286000,271000,260000,252000,258000,271000,293000,321000,355000,393000,430000,466000,497000,515000,519000,522000,520000,516000,513000,506000,5e+05,501000,5e+05,501000,501000,506000,509000,512000,518000,525000,530000,535000,541000,539000,532000,519000,NA,NA,NA,NA,"ALSKABSAI","67","Bathyraja parmifera","67_Bathyraja parmifera"
"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,384000,408000,423000,451000,499000,546000,563000,555000,484000,429000,369000,330000,318000,313000,316000,345000,358000,362000,356000,351000,351000,330000,309000,334000,338000,326000,268000,240000,230000,193000,139000,116000,78700,45300,23200,23700,22900,21500,22800,24200,27100,28200,27600,36100,39300,43400,44100,50500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AMPL3LNO","21","Hippoglossoides platessoides","21_Hippoglossoides platessoides"
"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1910000,2350000,2680000,2450000,2100000,1680000,1380000,1110000,742000,452000,305000,238000,241000,305000,347000,345000,342000,362000,468000,563000,581000,569000,626000,643000,674000,606000,618000,810000,1210000,1780000,1590000,1210000,984000,1040000,1020000,850000,815000,794000,680000,570000,349000,NA,NA,NA,"ANCHMEDGSA17-18","37","Engraulis encrasicolus","37_Engraulis encrasicolus"
"9",67900,66700,67100,67400,68500,68100,67600,67700,68700,68100,68300,67900,68500,67900,67800,68000,67900,67900,66500,63100,63000,61600,63400,63500,61700,60700,55400,51000,50800,48600,42200,38700,35200,27300,25900,28100,35300,38500,43300,42200,42800,43400,39700,37000,35500,27500,23400,21000,18400,17900,17400,19300,20300,14700,13300,11500,10900,14000,19400,27200,28600,33400,40400,46700,47300,48200,NA,NA,NA,"ANCHMEDGSA6","37","Engraulis encrasicolus","37_Engraulis encrasicolus"
"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,270000,267000,273000,281000,285000,287000,292000,305000,317000,334000,354000,381000,413000,438000,477000,511000,532000,559000,583000,598000,616000,628000,646000,661000,684000,707000,731000,761000,791000,816000,846000,871000,895000,908000,905000,890000,888000,881000,878000,908000,NA,NA,NA,"ARFLOUNDBSAI","67","Atheresthes stomias","67_Atheresthes stomias"
