"","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","stockid","primary_FAOarea","scientificname","fao_sp","stock_dat"
"1",0.0784,0.0626,0.0779,0.0771,0.0604,0.0503,0.0401,0.0437,0.0461,0.0615,0.056,0.0562,0.0422,0.0529,0.0545,0.0392,0.032,0.0303,0.0315,0.0393,0.0242,0.0438,0.061,0.0793,0.0857,0.0903,0.062,0.0683,0.075,0.102,0.123,0.156,0.135,0.131,0.143,0.14,0.156,0.173,0.142,0.0986,0.0586,0.0292,0.0234,0.0791,0.0429,0.0377,0.0198,0.0222,0.0169,0.00745,0.00727,0.00356,0.00351,0.00419,0.00231,0.00216,0.00165,0.00174,0.00142,0.00215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ACADREDGOMGB","21","Sebastes fasciatus","21_Sebastes fasciatus_erdat","ACADREDGOMGB_erdat"
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.285454545454545,0.36056338028169,0.183458646616541,0.130075187969925,0.458064516129032,0.0502392344497608,0.269230769230769,0.048,0.0218934911242604,0.107692307692308,0.266666666666667,0.129411764705882,0.0661971830985915,0.0398373983739837,0.0541666666666667,0.373333333333333,0.0835443037974684,0.103389830508475,0.0493670886075949,0.132,0.0410714285714286,0.0909090909090909,0.0233644859813084,0.0753623188405797,0.11063829787234,0.126315789473684,0.114285714285714,0.0955223880597015,0.341176470588235,0.0737704918032787,0.1,0.0457446808510638,0.15,0.06,0.0636363636363636,0.0267241379310345,0.028125,0.0878787878787879,0.0246575342465753,0.0312925170068027,NA,NA,NA,NA,NA,NA,NA,NA,"ACADREDUT3","21","Sebastes fasciatus","21_Sebastes fasciatus_erdat","ACADREDUT3_erdat"
"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00159744408945687,0.00156739811912226,0.00154320987654321,0.00153374233128834,0.00214723926380368,0.00152439024390244,0.00152439024390244,0.0021306990881459,0.00151975683890578,0.00151975683890578,0.00151057401812689,0.00169486404833837,0.00185196374622357,0.00179331306990881,0.0025166163141994,0.00151057401812689,0.00455927051671732,0.00386018237082067,0.00376899696048632,0.0106481481481481,0.0128660436137072,0.0116666666666667,0.0125391849529781,0.0127672955974843,0.0127672955974843,0.00595611285266458,0.00746081504702194,0.00685358255451713,0.00666666666666667,0.00417956656346749,0.00492260061919505,0.00981308411214953,0.00791277258566978,0.00841121495327103,0.015251572327044,0.0178274760383387,0.0155591054313099,0.0181553398058252,0.0255339805825243,0.0157605177993528,0.0113504823151125,0.0192556634304207,0.0216118421052632,0.00954983922829582,0.0129260450160772,0.00670886075949367,NA,NA,NA,NA,NA,NA,NA,"ALBAMED","37","Thunnus alalunga","37_Thunnus alalunga_erdat","ALBAMED_erdat"
"4",NA,NA,NA,0.0369447453954496,0.035920177383592,0.033934611048478,0.0458190148911798,0.0364692218350755,0.0485748218527316,0.051278928136419,0.0647713226205192,0.0636479591836735,0.0700662251655629,0.0579375848032564,0.082122905027933,0.0866379310344828,0.0992319508448541,0.0963492063492064,0.0802030456852792,0.103321678321678,0.0804270462633452,0.0853747714808044,0.0857943925233645,0.109021113243762,0.0979919678714859,0.0938398357289528,0.102691511387164,0.0885835095137421,0.124347826086957,0.122171945701357,0.117330210772834,0.124455205811138,0.0977272727272727,0.0880102040816327,0.107286432160804,0.132390745501285,0.11266846361186,0.11027027027027,0.132222222222222,0.105833333333333,0.0932394366197183,0.0899159663865546,0.101652892561983,0.0768595041322314,0.0828418230563003,0.1016,0.0941176470588235,0.101587301587302,0.075,0.0751295336787565,0.0648989898989899,0.084390243902439,0.0807317073170732,0.0643031784841076,0.0534117647058824,0.0585812356979405,0.0579064587973274,0.0762419006479482,0.0802603036876356,0.0477223427331887,0.0431578947368421,0.0309859154929577,0.0378640776699029,0.0378071833648393,0.047329650092081,0.0448087431693989,0.0477638640429338,0.0446397188049209,NA,NA,"ALBANATL","27","Thunnus alalunga","27_Thunnus alalunga_erdat","ALBANATL_erdat"
"5",NA,NA,NA,NA,NA,NA,NA,NA,5.42635658914729e-05,0.00184478371501272,0.0026448362720403,0.0118592964824121,0.0265822784810127,0.0276214833759591,0.0496083550913838,0.0466487935656836,0.0718232044198895,0.0861271676300578,0.081981981981982,0.0486238532110092,0.0795665634674923,0.0910543130990415,0.0774509803921569,0.083,0.114089347079038,0.100355871886121,0.070863309352518,0.0626334519572954,0.0685512367491166,0.0759717314487632,0.0822064056939502,0.0810035842293907,0.0826714801444043,0.0875912408759124,0.110820895522388,0.0555970149253731,0.0532846715328467,0.114338235294118,0.144015444015444,0.167078189300412,0.130735930735931,0.119823788546255,0.128699551569507,0.118181818181818,0.171830985915493,0.16078431372549,0.181025641025641,0.146808510638298,0.153513513513513,0.153846153846154,0.171910112359551,0.159195402298851,0.185798816568047,0.245569620253165,0.215646258503401,0.198581560283688,0.161870503597122,0.134042553191489,0.171328671328671,0.140972222222222,0.127702702702703,0.147682119205298,0.123870967741935,0.15253164556962,0.168456375838926,NA,NA,NA,NA,NA,"ALBASATL","47","Thunnus alalunga","47_Thunnus alalunga_erdat","ALBASATL_erdat"
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00540130151843818,0.00708414872798434,0.00460035523978686,0.0169657422512235,0.0210122699386503,0.0101023391812866,0.0120979020979021,0.00924016282225238,0.0142857142857143,0.0248041775456919,0.0328063241106719,0.062753036437247,0.026647564469914,0.0903225806451613,0.0227053140096618,0.0177814029363785,0.0247116968698517,0.0301164725457571,0.0233108108108108,0.0182741116751269,0.0323232323232323,0.0272881355932203,0.0361774744027304,0.0249128919860627,0.0246913580246914,0.0259856630824373,0.0158576642335766,0.0224677716390424,0.0186194029850746,0.0146927374301676,0.0204379562043796,0.0311711711711712,0.0349462365591398,0.0311270125223614,0.0249551166965889,0.0292418772563177,0.0435661764705882,0.0317399617590822,0.0465346534653465,0.04,NA,NA,NA,"ALPLAICBSAI","67","Pleuronectes quadrituberculatus","67_Pleuronectes quadrituberculatus_erdat","ALPLAICBSAI_erdat"
"7",NA,NA,0,0,0,0,0,0,0,0,0.000118760757314974,0.000308362369337979,0,0,0,0,0.00064378478664193,0.00203007518796992,0.00200764818355641,0.00485436893203883,0.0213438735177866,0.0103688524590164,0.016218487394958,0.014004329004329,0.0140089086859688,0.0600456621004566,0.0706896551724138,0.0697860962566845,0.0365217391304348,0.0531722054380665,0.0936305732484076,0.0657342657342657,0.0623616236162362,0.0657692307692308,0.0348809523809524,0.0287984496124031,0.0150184501845018,0.0187372013651877,0.0155140186915888,0.0114647887323944,0.0145801526717557,0.00544186046511628,0.00579399141630901,0.0153319919517103,0.0297087378640777,0.0211946050096339,0.0245210727969349,0.0257692307692308,0.022093023255814,0.0311890838206628,0.0341897233201581,0.0252,0.0327345309381238,0.035,0.0389221556886228,0.0353293413173653,0.0409090909090909,0.0420432220039293,0.0361328125,0.0324324324324324,0.0371428571428571,0.0349056603773585,0.0295327102803738,0.0401109057301294,0.0419294990723562,0.0464285714285714,0.0477842003853565,NA,NA,NA,"ALSKABSAI","67","Bathyraja parmifera","67_Bathyraja parmifera_erdat","ALSKABSAI_erdat"
"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0556,0.0401,0.0383,0.057,0.0773,0.0975,0.116,0.17,0.151,0.185,0.181,0.206,0.187,0.169,0.147,0.125,0.145,0.121,0.141,0.138,0.14,0.152,0.163,0.113,0.107,0.147,0.215,0.223,0.169,0.213,0.173,0.22,0.138,0.175,0.0242,0.0231,0.0382,0.0635,0.0684,0.101,0.0958,0.106,0.113,0.106,0.0727,0.0946,0.0642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AMPL3LNO","21","Hippoglossoides platessoides","21_Hippoglossoides platessoides_erdat","AMPL3LNO_erdat"
"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0115183246073298,0.0119148936170213,0.0132835820895522,0.0222857142857143,0.024,0.0364880952380952,0.0242028985507246,0.0327927927927928,0.0366576819407008,0.0623893805309735,0.148196721311475,0.0689075630252101,0.0201244813278008,0.0380327868852459,0.0412103746397695,0.0417391304347826,0.0625730994152047,0.0403314917127072,0.0311965811965812,0.0380106571936057,0.0614457831325301,0.0532513181019332,0.0623003194888179,0.0502332814930016,0.043620178041543,0.0627062706270627,0.0550161812297735,0.032962962962963,0.0257851239669421,0.0218539325842697,0.0360377358490566,0.0502479338842975,0.0663617886178862,0.0475961538461538,0.0515686274509804,0.0631764705882353,0.054601226993865,0.0453400503778338,0.0411764705882353,0.0545614035087719,0.112893982808023,NA,NA,"ANCHMEDGSA17-18","37","Engraulis encrasicolus","37_Engraulis encrasicolus_erdat","ANCHMEDGSA17-18_erdat"
"10",0.0415503875968992,0.0484444444444444,0.0826215022091311,0.0652173913043478,0.0591654247391952,0.0305637982195846,0.0454014598540146,0.0571218795888399,0.0535502958579882,0.0258493353028065,0.0465793304221252,0.0378854625550661,0.0512445095168375,0.0315169366715758,0.0524087591240876,0.0528718703976436,0.0454277286135693,0.0488235294117647,0.0493372606774669,0.0877761413843888,0.169924812030075,0.15324881141046,0.19047619047619,0.133766233766234,0.143217665615142,0.188976377952756,0.20259319286872,0.319604612850082,0.377256317689531,0.341176470588235,0.387795275590551,0.497942386831276,0.495260663507109,0.51937984496124,0.647727272727273,0.527472527472527,0.420849420849421,0.273665480427046,0.382436260623229,0.327272727272727,0.434180138568129,0.402843601895735,0.401869158878505,0.490783410138249,0.498740554156171,0.486486486486487,0.645070422535211,0.607272727272727,0.572649572649573,0.595238095238095,0.519565217391304,0.522905027932961,0.420689655172414,0.461139896373057,0.704433497536946,0.580952380952381,0.609022556390977,0.540869565217391,0.284403669724771,0.201428571428571,0.181958762886598,0.444852941176471,0.345804195804196,0.285329341317365,0.282178217821782,0.36830835117773,0.355179704016913,0.350622406639004,NA,NA,"ANCHMEDGSA6","37","Engraulis encrasicolus","37_Engraulis encrasicolus_erdat","ANCHMEDGSA6_erdat"
