assessid,fao_area
ADFG-SSALMBLACKL-1918-1999-HIVELY,67
ADFG-SSALMCHIGNIKL-1918-1999-HIVELY,67
ABARES-BGRDRSE-1960-2011-CHING,57
ADFG-HERRPWS-1980-2006-COLLIE,67
ADFG-HERRSITKA-1978-2007-COLLIE,67
ADFG-HERRTOG-1990-2010-HIVELY,67
AFSC-ALPLAICBSAI-1972-2010-STACHURA,67
AFSC-ARFLOUNDBSAI-1970-2010-STACHURA,67
AFSC-ARFLOUNDGA-1958-2010-STACHURA,67
AFSC-ATKABSAI-1976-2011-STACHURA,67
AFSC-BKINGCRABPI-1960-2008-JENSEN,67
AFSC-BKINGCRABSMI-1960-2008-JENSEN,67
AFSC-DSOLEGA-1978-2009-STACHURA,67
AFSC-DUSROCKGA-1973-2010-STACHURA,NA
AFSC-FLSOLEBSAI-1974-2010-STACHURA,67
AFSC-FLSOLEGA-1978-2010-STACHURA,NA
AFSC-GHALBSAI-1960-2015-HIVELY,67
AFSC-NROCKBSAI-1974-2011-STACHURA,67
AFSC-NROCKGA-1959-2010-STACHURA,NA
AFSC-NRSOLEEBSAI-1975-2012-HIVELY,67
AFSC-PCODBSAI-1964-2013-CHING,67
AFSC-PCODGA-1977-2014-HIVELY,NA
AFSC-PERCHEBSAI-1960-2011-STACHURA,67
AFSC-POPERCHGA-1959-2010-STACHURA,67
AFSC-REXSOLEGA-1979-2011-HIVELY,67
AFSC-REYEROCKBSAI-1974-2015-HIVELY,67
AFSC-REYEROCKGA-1974-2010-STACHURA,67
AFSC-RKCRABBB-1960-2008-JENSEN,67
AFSC-RKCRABNS-1976-2008-JENSEN,67
AFSC-RKCRABPI-1981-2009-JENSEN,67
AFSC-SABLEFEBSAIGA-1958-2010-STACHURA,67
AFSC-SNOWCRABBS-1978-2013-HIVELY,67
AFSC-SRAKEROCKBSAI-1977-2010-STACHURA,67
AFSC-TANNERCRABBSAI-1949-2013-HIVELY,67
AFSC-WPOLLAI-1976-2013-CHING,67
AFSC-WPOLLEBS-1963-2015-HIVELY,67
AFSC-WPOLLGA-1970-2014-HIVELY,NA
AFSC-YSOLEBSAI-1949-2010-STACHURA,67
AFWG-CAPENOR-1965-2007-MINTO,27
AFWG-CODNEAR-1946-2011-CHING,27
AFWG-GHALNEAR-1960-2010-NEUBAUER,27
AFWG-GOLDREDNEAR-1983-2010-NEUBAUER,27
AFWG-HADNEAR-1947-2012-CHING,27
AFWG-POLLNEAR-1957-2012-CHING,27
AFWG-REDDEEPI-II-1985-2006-MINTO,27
ASMFC-ATLCROAKMATLC-1973-2002-STANTON,21
ASMFC-LOBSTERGB-1981-2007-STANTON,21
ASMFC-LOBSTERGOM-1981-2007-STANTON,21
ASMFC-LOBSTERSNE-1981-2007-STANTON,21
ASMFC-PANDALGOM-1960-2009-IDOINE,21
CBP-BCRABCHESB-1990-2010-HIVELY,21
CCAMLR-ATOOTHFISHRS-1995-2007-JENSEN,88
CCSBT-SC-SBT-1952-2014-PONS,51
CNR-IAMC-SARDMEDGSA16-1998-2011-BANOBI,37
CSERG-ANCHOVYKILKACS-1991-2007-JENSEN,NA
CSIRO-BIGHTREDSE-1958-2007-FULTON,57
CSIRO-BTSHRIMPNAUST-1970-2006-FULTON,71
CSIRO-DEEPFLATHEADSE-1978-2007-FULTON,57
CSIRO-GEMFISHSE-1966-2007-FULTON,57
CSIRO-GTPRAWNNAUST-1970-2006-FULTON,71
CSIRO-MORWONGSE-1913-2007-FULTON,57
CSIRO-NZLINGESE-1968-2007-FULTON,57
CSIRO-NZLINGWSE-1968-2007-FULTON,57
CSIRO-OROUGHYCASCADE-1987-2006-FULTON,57
CSIRO-OROUGHYSE-1978-2007-FULTON,57
CSIRO-PTOOTHFISHMI-1975-2010-FAY,81
