"","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"BGRDRNSWWA_fdat",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00501602,0.00861973,0.0046354,0.00736987,0.00825916,0.0122777,0.0105548,0.0195139,0.0285438,0.0227753,0.0230299,0.024428,0.0343917,0.0260448,0.0290229,0.0296024,0.0230859,0.024322,0.0365816,0.0374063,0.0540028,0.0516509,0.0593338,0.0678369,0.0738753,0.063883,0.0511152,0.0455025,0.0419216,0.0561843,0.0514117,0.0720822,0.0747708,0.0672706,0.0573299,0.0198092,0.019145,0.0130703,0.0137334
"SBT_fdat",0.253,0.316,0.189,0.16,0.163,0.129,0.0805,0.056,0.0678,0.0354,0.0312,0.0303,0.045,0.058,0.0475,0.0472,0.0538,0.0608,0.0728,0.0616,0.0625,0.105,0.145,0.21,0.147,0.147,0.195,0.159,0.168,0.0885,0.0703,0.042,0.0283,0.023,0.0274,0.0357,0.0626,0.0741,0.0685,0.0804,0.0831,0.0859,0.107,0.112,0.111,0.145,0.157,0.133,0.108,0.0961,0.0682,0.0626,0.071,0.0576,0.07725,0.07725,0.07725
"SWHITSE_fdat",0.00208,0.00461,0.0114,0.0134,0.0153,0.0152,0.0119,0.0118,0.0153,0.0207,0.0153,0.0127,0.0253,0.0288,0.0135,0.0424,0.0423,0.0406,0.0652,0.0726,0.108,0.128,0.15,0.131,0.181,0.237,0.172,0.194,0.145,0.245,0.241,0.158,0.296,0.225,0.297,0.302,0.298,0.347,0.276,0.216,0.267,0.26,0.263,0.211,0.211,0.206,0.215,0.183,0.187,0.203,0.221,0.214,0.19,0.185,0.202,0.201,0.182
"SWORDIO_fdat",0.0019,0.0023,0.0028,0.0032,0.0032,0.0037,0.004,0.0041,0.0062,0.0059,0.0048,0.004,0.0057,0.0064,0.0055,0.0052,0.0057,0.0066,0.0086,0.0076,0.0069,0.0103,0.0126,0.0131,0.0124,0.0145,0.0166,0.0187,0.0221,0.0151,0.02,0.027,0.05,0.0754,0.0838,0.109,0.114,0.119,0.118,0.107,0.113,0.116,0.126,0.109,0.105,0.12,0.104,0.0924,0.0766,0.0608,0.0535,0.066,0.0802,0.0151,0.0151,0.0151,0.0151
"BGRDRNSWWA_erdat",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004717671,0.008421052,0.004447541,0.007046529,0.007952392,0.01145065,0.00999912,0.01870245,0.02723107,0.02243574,0.02285815,0.02417778,0.03404526,0.02583027,0.02867467,0.02290079,0.02087374,0.02818508,0.04441456,0.04519098,0.06429656,0.06042856,0.06792817,0.07620479,0.07654281,0.06850007,0.05357453,0.04587072,0.04196454,0.05548008,0.0492061,0.06263465,0.06213804,0.05934412,0.05133623,0.01903354,0.01916938,0.01293802
"BLKMARLINIO_erdat",0.0305114638447972,0.0311504424778761,0.0336879432624113,0.0233096085409253,0.0282186948853616,0.0242049469964664,0.022887323943662,0.0263157894736842,0.0372583479789104,0.0370766488413547,0.0410394265232975,0.0297833935018051,0.0224014336917563,0.0142021276595745,0.0241681260945709,0.0214788732394366,0.0116049382716049,0.011500872600349,0.0136741767764298,0.0129861111111111,0.0228769497400347,0.0188811188811189,0.0375874125874126,0.0427046263345196,0.0389891696750903,0.0377938517179024,0.0405797101449275,0.0449908925318761,0.0424908424908425,0.0428571428571429,0.0415441176470588,0.0455045871559633,0.0674632352941176,0.0770244821092279,0.114615384615385,0.101807228915663,0.120283975659229,0.14253112033195,0.120128479657388,0.132119914346895,0.17247311827957,0.17123595505618,0.160321100917431,0.203189066059226,0.301401869158879,0.275689223057644,0.281795511221945,0.243989769820972,0.263565891472868,0.297297297297297,0.275,0.322766570605187,0.0412917720851781,0.0412917720851781,0.0412917720851781,0.0412917720851781,0.0412917720851781
"NZLINGWSE_erdat",0.01099365586961,0.01099365586961,0.01099365586961,0.01099365586961,0.01099365586961,0.01099365586961,0.01099365586961,0.01099365586961,0,0,0,0,0,0,0,0,0,0,0,0.000187096774193548,0,0,0.000551948051948052,0,4.54545454545455e-05,0.00821192052980133,0.00939189189189189,0.0167808219178082,0.00929577464788732,0.0160583941605839,0.0125954198473282,0.0196923076923077,0.01625,0.0448854961832061,0.0385611510791367,0.0435333333333333,0.0519631901840491,0.0498823529411765,0.0529885057471264,0.0479041916167665,0.049685534591195,0.0579865771812081,0.065037037037037,0.0604166666666667,0.0711214953271028,0.0636842105263158,0.0548996458087367,0.0599226804123711,0.01099365586961,0.01099365586961,0.01099365586961,0.01099365586961,0.01099365586961,0.01099365586961,0.01099365586961,0.01099365586961,0.01099365586961
"RROCKLOBSTERSAUSNZ_erdat",0.2395,0.2395,0.2395,0.2395,0.2395,0.2395,0.2395,0.2395,0.2395,0.2395,0.108,0.105,0.118,0.105,0.105,0.115,0.101,0.104,0.106,0.115,0.122,0.123,0.147,0.153,0.171,0.172,0.197,0.217,0.228,0.251,0.282,0.319,0.305,0.299,0.3,0.323,0.325,0.332,0.344,0.346,0.34,0.308,0.284,0.276,0.258,0.282,0.278,0.301,0.286,0.177,0.2395,0.2395,0.2395,0.2395,0.2395,0.2395,0.2395
"RROCKLOBSTERSAUSSZ_erdat",0.458,0.458,0.458,0.458,0.458,0.458,0.458,0.458,0.458,0.458,0.41,0.403,0.388,0.434,0.334,0.383,0.383,0.369,0.36,0.367,0.426,0.459,0.466,0.569,0.504,0.514,0.491,0.546,0.481,0.457,0.487,0.505,0.454,0.621,0.549,0.591,0.642,0.63,0.546,0.434,0.403,0.362,0.345,0.408,0.399,0.451,0.494,0.612,0.694,0.696,0.458,0.458,0.458,0.458,0.458,0.458,0.458
"SBT_erdat",0.0126031746031746,0.0136333333333333,0.00807760141093474,0.0125806451612903,0.0099402390438247,0.00985507246376812,0.0101059322033898,0.0141684665226782,0.0130066815144766,0.0137002341920375,0.0117560975609756,0.0112468827930175,0.0136939313984169,0.0112568306010929,0.0132203389830508,0.00953757225433526,0.0123906705539359,0.0124117647058824,0.0105588235294118,0.0114497041420118,0.0134626865671642,0.0137082066869301,0.0134591194968553,0.01375,0.0125337837837838,0.0118085106382979,0.0106792452830189,0.0104489795918367,0.0100873362445415,0.00864077669902913,0.0074331550802139,0.00791907514450867,0.0091025641025641,0.00986206896551724,0.00985074626865672,0.011031746031746,0.0141880341880342,0.0147706422018349,0.0178,0.019857433808554,0.0157841140529532,0.017259978425027,0.0175660160734788,0.0168257756563246,0.0165441176470588,0.0206896551724138,0.0160935350756534,0.0145604395604396,0.0149606299212598,0.0149519890260631,0.0127391874180865,0.0123722149410223,0.0131043256997455,0.013895486935867,0.0132369299221357,0.0145601617795753,0.0134579439252336
"SKJCIO_erdat",0.0119285714285714,0.0118571428571429,0.0135,0.0152142857142857,0.0159285714285714,0.0203571428571429,0.0242446043165468,0.0260431654676259,0.0260144927536232,0.0278985507246377,0.0321014492753623,0.0310948905109489,0.0265693430656934,0.0339416058394161,0.0414598540145985,0.0327941176470588,0.0384558823529412,0.0365441176470588,0.0333088235294118,0.0366666666666667,0.0411111111111111,0.0435555555555556,0.0464925373134328,0.0521641791044776,0.0854961832061069,0.124137931034483,0.18098510882016,0.236559139784946,0.247630331753555,0.366959064327485,0.457831325301205,0.442067736185383,0.300736067297582,0.304854368932039,0.265909090909091,0.2875,0.305714285714286,0.307407407407407,0.285714285714286,0.234254143646409,0.261875,0.309848484848485,0.351824817518248,0.441284403669725,0.563118811881188,0.504545454545455,0.496774193548387,0.806228373702422,0.858823529411765,0.627507163323782,0.451544195953142,0.404435058078142,0.152561519927322,0.152561519927322,0.152561519927322,0.152561519927322,0.152561519927322
