"","stockid","primary_FAOarea","scientificname"
"1","ALBANATL","ANE","Thunnus alalunga"
"2","CAPENOR","ANE","Mallotus villosus"
"3","COD1f-XIV","ANE","Gadus morhua"
"4","CODBA2532","ANE","Gadus morhua"
"5","CODFAPL","ANE","Gadus morhua"
"6","CODICE","ANE","Gadus morhua"
"7","CODIIIaW-IV-VIId","ANE","Gadus morhua"
"8","CODIS","ANE","Gadus morhua"
"9","CODNEAR","ANE","Gadus morhua"
"10","CODVIIek","ANE","Gadus morhua"
"11","GOLDREDV-VI-XII-XIV","ANE","Sebastes norvegicus"
"12","HADFAPL","ANE","Melanogrammus aeglefinus"
"13","HADICE","ANE","Melanogrammus aeglefinus"
"14","HADNEAR","ANE","Melanogrammus aeglefinus"
"15","HADNS-IIIa-VIa","ANE","Melanogrammus aeglefinus"
"16","HAKENRTN","ANE","Merluccius merluccius"
"17","HERR2529-32","ANE","Clupea harengus"
"18","HERRNS-IIIa-VIId","ANE","Clupea harengus"
"19","HERRRIGA","ANE","Clupea harengus"
"20","HERRSIRS","ANE","Clupea harengus"
"21","HERRVIa","ANE","Clupea harengus"
"22","HERRVIaVIIbc","ANE","Clupea harengus"
"23","PLAICNS","ANE","Pleuronectes platessa"
"24","POLLFAPL","ANE","Pollachius virens"
"25","POLLNEAR","ANE","Pollachius virens"
"26","POLLNS-VI-IIIa","ANE","Pollachius virens"
"27","SARDPVIIIc-IXa","ANE","Sardina pilchardus"
"28","SOLECS","ANE","Solea solea"
"29","SOLEIS","ANE","Solea solea"
"30","SOLENS","ANE","Solea solea"
"31","SOLEVIIe","ANE","Solea solea"
"32","SPRAT22-32","ANE","Sprattus sprattus"
"33","SPRATNS","ANE","Sprattus sprattus"
"34","SPURDNEATL","ANE","Squalus acanthias"
"35","SWORDNATL","ANE","Xiphias gladius"
"36","WANGLVIIIc-IXa","ANE","Lophius piscatorius"
"37","WHITNS-VIId","ANE","Merlangius merlangus"
"38","BIGEYECWPAC","PWC","Thunnus obesus"
"39","SKJCWPAC","PWC","Katsuwonus pelamis"
"40","STMARLINSWPO","PWC","Kajikia audax"
"41","YFINCWPAC","PWC","Thunnus albacares"
"42","BGRDRNSWWA","IOE","Macruronus novaezelandiae"
"43","BLKMARLINIO","IOE","Istiompax indica"
"44","NZLINGWSE","IOE","Genypterus blacodes"
"45","RROCKLOBSTERSAUSNZ","IOE","Jasus edwardsii"
"46","RROCKLOBSTERSAUSSZ","IOE","Jasus edwardsii"
"47","SBT","IOE","Thunnus maccoyii"
"48","SKJCIO","IOE","Katsuwonus pelamis"
"49","SWHITSE","IOE","Sillago flindersi"
"50","ANGLVIIIc-IXa","ANE","Lophius budegassa"
"51","ATBTUNAEATL","ANE","Thunnus thynnus"
"52","BWHITNEA","ANE","Micromesistius poutassou"
"53","CODVIa","ANE","Gadus morhua"
"54","CUSKVa-XIV","ANE","Brosme brosme"
"55","GHALNEAR","ANE","Reinhardtius hippoglossoides"
"56","HAKESOTH","ANE","Merluccius merluccius"
"57","HERR30-31","ANE","Clupea harengus"
"58","HERRNIRS","ANE","Clupea harengus"
"59","HMACKIIa-IVa-Vb-VIa-VII-VIII","ANE","Trachurus trachurus"
"60","LINGVa","ANE","Molva molva"
"61","MACKNEICES","ANE","Scomber scombrus"
"62","PLAIC7d","ANE","Pleuronectes platessa"
"63","PLAICECHW","ANE","Pleuronectes platessa"
"64","PLAICIS","ANE","Pleuronectes platessa"
"65","POLLIEG","ANE","Pollachius virens"
"66","SEELNSSA1","ANE","Ammodytes spp"
"67","SEELNSSA2","ANE","Ammodytes spp"
"68","SOLEVIId","ANE","Solea solea"
"69","TURIV","ANE","Scophthalmus maximus"
"70","WHITVIa","ANE","Merlangius merlangus"
"71","WHITVIIa","ANE","Merlangius merlangus"
"72","BMARLINPAC","PWC","Makaira nigricans"
"73","BTSHRIMPNAUST","PWC","Penaeus esculentus"
"74","GTPRAWNNAUST","PWC","Penaeus semisulcatus"
"75","SWORDIO","IOE","Xiphias gladius"
